scenario,case,case_label,year,inv_bn,depreciation_bn,opening_rab_bn,closing_rab_bn,wacc_times_rab_bn,opex_bn,total_cost_bn,demand_twh,system_avg_ct_per_kwh,system_avg_eur_per_mwh,system_avg_eur_per_kwh
65%,B_denominator_only,Case B — Excel B investment unchanged; PyPSA end-use denominator only,2036,34.0000,13.0733,435.7782,456.7048,23.9678,22.0900,59.1311,751.8964,7.8643,78.6427,0.0786
65%,B_denominator_only,Case B — Excel B investment unchanged; PyPSA end-use denominator only,2037,34.0000,13.7011,456.7048,477.0037,25.1188,22.6400,61.4599,772.8283,7.9526,79.5260,0.0795
65%,B_denominator_only,Case B — Excel B investment unchanged; PyPSA end-use denominator only,2038,24.0000,14.3101,477.0037,486.6936,26.2352,23.1800,63.7253,793.7602,8.0283,80.2828,0.0803
65%,B_denominator_only,Case B — Excel B investment unchanged; PyPSA end-use denominator only,2039,24.0000,14.6008,486.6936,496.0928,26.7681,23.7300,65.0990,814.6922,7.9906,79.9062,0.0799
65%,B_denominator_only,Case B — Excel B investment unchanged; PyPSA end-use denominator only,2040,24.0000,14.8828,496.0928,505.2100,27.2851,24.2700,66.4379,835.6241,7.9507,79.5069,0.0795
65%,C_dso_capacity_all_inv,Case C — all Inv_base × (German DSO stock_s / stock_Build),2023,15.0000,5.5800,186.0000,195.4200,9.3744,15.0000,29.9544,510.0000,5.8734,58.7341,0.0587
65%,C_dso_capacity_all_inv,Case C — all Inv_base × (German DSO stock_s / stock_Build),2024,18.0000,5.8626,195.4200,207.5574,9.8492,15.5500,31.2618,520.0000,6.0119,60.1188,0.0601
65%,C_dso_capacity_all_inv,Case C — all Inv_base × (German DSO stock_s / stock_Build),2025,18.0000,6.2267,207.5574,219.3307,10.4609,16.0900,32.7776,530.0000,6.1845,61.8446,0.0618
65%,C_dso_capacity_all_inv,Case C — all Inv_base × (German DSO stock_s / stock_Build),2026,18.3629,6.5799,219.3307,231.1136,11.0543,16.6400,34.2742,549.2610,6.2401,62.4005,0.0624
65%,C_dso_capacity_all_inv,Case C — all Inv_base × (German DSO stock_s / stock_Build),2027,18.3629,6.9334,231.1136,242.5431,11.6481,17.1800,35.7615,568.5220,6.2903,62.9026,0.0629
65%,C_dso_capacity_all_inv,Case C — all Inv_base × (German DSO stock_s / stock_Build),2028,23.9516,7.2763,242.5431,259.2184,12.2242,17.7300,37.2305,587.7830,6.3340,63.3405,0.0633
65%,C_dso_capacity_all_inv,Case C — all Inv_base × (German DSO stock_s / stock_Build),2029,23.9516,7.7766,259.2184,275.3934,14.2570,18.2700,40.3036,607.0440,6.6393,66.3932,0.0664
65%,C_dso_capacity_all_inv,Case C — all Inv_base × (German DSO stock_s / stock_Build),2030,27.1451,8.2618,275.3934,294.2767,15.1466,18.8200,42.2284,626.3049,6.7425,67.4247,0.0674
65%,C_dso_capacity_all_inv,Case C — all Inv_base × (German DSO stock_s / stock_Build),2031,22.2147,8.8283,294.2767,307.6631,16.1852,19.3600,44.3735,647.2369,6.8558,68.5584,0.0686
65%,C_dso_capacity_all_inv,Case C — all Inv_base × (German DSO stock_s / stock_Build),2032,22.2147,9.2299,307.6631,320.6479,16.9215,19.9100,46.0614,668.1688,6.8937,68.9367,0.0689
65%,C_dso_capacity_all_inv,Case C — all Inv_base × (German DSO stock_s / stock_Build),2033,22.2147,9.6194,320.6479,333.2431,17.6356,20.4500,47.7051,689.1007,6.9228,69.2280,0.0692
65%,C_dso_capacity_all_inv,Case C — all Inv_base × (German DSO stock_s / stock_Build),2034,22.2147,9.9973,333.2431,345.4605,18.3284,21.0000,49.3257,710.0326,6.9470,69.4696,0.0695
65%,C_dso_capacity_all_inv,Case C — all Inv_base × (German DSO stock_s / stock_Build),2035,22.2147,10.3638,345.4605,357.3114,19.0003,21.5500,50.9141,730.9645,6.9653,69.6534,0.0697
65%,C_dso_capacity_all_inv,Case C — all Inv_base × (German DSO stock_s / stock_Build),2036,22.2147,10.7193,357.3114,368.8067,19.6521,22.0900,52.4615,751.8964,6.9772,69.7722,0.0698
65%,C_dso_capacity_all_inv,Case C — all Inv_base × (German DSO stock_s / stock_Build),2037,22.2147,11.0642,368.8067,379.9572,20.2844,22.6400,53.9886,772.8283,6.9858,69.8584,0.0699
65%,C_dso_capacity_all_inv,Case C — all Inv_base × (German DSO stock_s / stock_Build),2038,15.6810,11.3987,379.9572,384.2395,20.8976,23.1800,55.4764,793.7602,6.9891,69.8906,0.0699
65%,C_dso_capacity_all_inv,Case C — all Inv_base × (German DSO stock_s / stock_Build),2039,15.6810,11.5272,384.2395,388.3932,21.1332,23.7300,56.3904,814.6922,6.9217,69.2168,0.0692
65%,C_dso_capacity_all_inv,Case C — all Inv_base × (German DSO stock_s / stock_Build),2040,15.6810,11.6518,388.3932,392.4224,21.3616,24.2700,57.2834,835.6241,6.8552,68.5517,0.0686
65%,D_peak_flow_all_inv,Case D — all Inv_base × (German peak HV→LV_s / peak_Build),2023,15.0000,5.5800,186.0000,195.4200,9.3744,15.0000,29.9544,510.0000,5.8734,58.7341,0.0587
65%,D_peak_flow_all_inv,Case D — all Inv_base × (German peak HV→LV_s / peak_Build),2024,18.0000,5.8626,195.4200,207.5574,9.8492,15.5500,31.2618,520.0000,6.0119,60.1188,0.0601
65%,D_peak_flow_all_inv,Case D — all Inv_base × (German peak HV→LV_s / peak_Build),2025,18.0000,6.2267,207.5574,219.3307,10.4609,16.0900,32.7776,530.0000,6.1845,61.8446,0.0618
65%,D_peak_flow_all_inv,Case D — all Inv_base × (German peak HV→LV_s / peak_Build),2026,18.3629,6.5799,219.3307,231.1136,11.0543,16.6400,34.2742,549.2610,6.2401,62.4005,0.0624
65%,D_peak_flow_all_inv,Case D — all Inv_base × (German peak HV→LV_s / peak_Build),2027,18.3629,6.9334,231.1136,242.5431,11.6481,17.1800,35.7615,568.5220,6.2903,62.9026,0.0629
