,,2020,2020,2020,2025,2025,2025,2030,2030,2030,2035,2035,2035,2040,2040,2040,2045,2045,2045,2050,2050,2050
,,electric,fuel_cell,ice,electric,fuel_cell,ice,electric,fuel_cell,ice,electric,fuel_cell,ice,electric,fuel_cell,ice,electric,fuel_cell,ice,electric,fuel_cell,ice
HR,van,0.000000,0.001637,0.998363,0.000000,0.009820,0.990180,0.000000,0.018003,0.981997,0.012500,0.026502,0.960998,0.025000,0.035000,0.940000,0.087500,0.057500,0.855000,0.150000,0.080000,0.770000
HR,bus,0.000000,0.001637,0.998363,0.000000,0.009820,0.990180,0.000000,0.018003,0.981997,0.012500,0.026502,0.960998,0.025000,0.035000,0.940000,0.087500,0.057500,0.855000,0.150000,0.080000,0.770000
HU,passenger,0.016529,0.004209,0.979262,0.096230,0.025255,0.878516,0.175930,0.046300,0.777770,0.287965,0.063150,0.648885,0.400000,0.080000,0.520000,0.475000,0.090000,0.435000,0.550000,0.100000,0.350000
HU,truck,0.001818,0.008455,0.989727,0.010909,0.050727,0.938364,0.020000,0.093000,0.887000,0.020000,0.146500,0.833500,0.020000,0.200000,0.780000,0.060000,0.400000,0.540000,0.100000,0.600000,0.300000
HU,van,0.001818,0.008455,0.989727,0.010909,0.050727,0.938364,0.020000,0.093000,0.887000,0.020000,0.146500,0.833500,0.020000,0.200000,0.780000,0.060000,0.400000,0.540000,0.100000,0.600000,0.300000
HU,bus,0.001818,0.008455,0.989727,0.010909,0.050727,0.938364,0.020000,0.093000,0.887000,0.020000,0.146500,0.833500,0.020000,0.200000,0.780000,0.060000,0.400000,0.540000,0.100000,0.600000,0.300000
IE,passenger,0.012829,0.000909,0.986262,0.070580,0.005455,0.923966,0.128330,0.010000,0.861670,0.564165,0.005000,0.430835,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
IE,truck,0.005266,0.021063,0.973672,0.031594,0.126376,0.842030,0.057922,0.231690,0.710388,0.083961,0.335845,0.580194,0.110000,0.440000,0.450000,0.205000,0.495000,0.300000,0.300000,0.550000,0.150000
IE,van,0.005266,0.021063,0.973672,0.031594,0.126376,0.842030,0.057922,0.231690,0.710388,0.083961,0.335845,0.580194,0.110000,0.440000,0.450000,0.205000,0.495000,0.300000,0.300000,0.550000,0.150000
IE,bus,0.005266,0.021063,0.973672,0.031594,0.126376,0.842030,0.057922,0.231690,0.710388,0.083961,0.335845,0.580194,0.110000,0.440000,0.450000,0.205000,0.495000,0.300000,0.300000,0.550000,0.150000
